Date,Day,Bus no.,Arrival time,Arrival location,Passengers onboarded,Passengers left,,,,,
4/14/2018,Sat,a-2,1:00:00 PM,New Buspark,2,10,,,,,
4/14/2018,Sat,a-3,10:30:00 AM,Lagankhel,1,10,,,,,
4/14/2018,Sat,a-3,10:50:00 AM,Jawalakhel,0,10,,,,,
4/14/2018,Sat,a-3,11:05:00 AM,Pulchowk,5,10,,,,,
4/14/2018,Sat,a-3,11:25:00 AM,Kupandole,3,8,,,,,
4/14/2018,Sat,a-3,11:35:00 AM,Thapathali,5,6,,,,,
4/14/2018,Sat,a-3,11:45:00 AM,Tripureshwor,9,3,,,,,
4/14/2018,Sat,a-3,12:05:00 PM,NAC,8,4,,,,,
4/14/2018,Sat,a-3,12:25:00 PM,Jamal,8,4,,,,,
4/14/2018,Sat,a-3,12:45:00 PM,Lazimpat,8,3,,,,,
4/14/2018,Sat,a-3,12:55:00 PM,Panipokhari,9,8,,,,,
4/14/2018,Sat,a-3,1:00:00 PM,Teaching,6,1,,,,,
4/14/2018,Sat,a-3,1:10:00 PM,Narayan Gopal Chowk,4,3,,,,,
4/14/2018,Sat,a-3,1:30:00 PM,Samakhusi,0,9,,,,,
4/14/2018,Sat,a-3,1:35:00 PM,Gongabu,5,5,,,,,
4/14/2018,Sat,a-3,1:40:00 PM,New Buspark,5,2,,,,,
4/14/2018,Sat,a-4,11:15:00 AM,Lagankhel,2,5,,,,,
4/14/2018,Sat,a-4,11:30:00 AM,Jawalakhel,1,4,,,,,
4/14/2018,Sat,a-4,11:35:00 AM,Pulchowk,7,7,,,,,
4/14/2018,Sat,a-4,11:50:00 AM,Kupandole,10,8,,,,,
4/14/2018,Sat,a-4,12:00:00 PM,Thapathali,4,4,,,,,
4/14/2018,Sat,a-4,12:10:00 PM,Tripureshwor,0,3,,,,,
4/14/2018,Sat,a-4,12:20:00 PM,NAC,9,5,,,,,
4/14/2018,Sat,a-4,12:30:00 PM,Jamal,5,7,,,,,
4/14/2018,Sat,a-4,12:55:00 PM,Lazimpat,7,5,,,,,
4/14/2018,Sat,a-4,1:05:00 PM,Panipokhari,6,6,,,,,
4/14/2018,Sat,a-4,1:10:00 PM,Teaching,3,8,,,,,
4/14/2018,Sat,a-4,1:20:00 PM,Narayan Gopal Chowk,10,4,,,,,
4/14/2018,Sat,a-4,1:35:00 PM,Samakhusi,7,9,,,,,
4/14/2018,Sat,a-4,1:40:00 PM,Gongabu,6,10,,,,,
4/14/2018,Sat,a-4,1:45:00 PM,New Buspark,10,4,,,,,
4/14/2018,Sat,a-5,12:00:00 PM,Lagankhel,5,0,,,,,
4/14/2018,Sat,a-5,12:10:00 PM,Jawalakhel,5,6,,,,,
4/14/2018,Sat,a-5,12:15:00 PM,Pulchowk,9,1,,,,,
4/14/2018,Sat,a-5,12:25:00 PM,Kupandole,8,1,,,,,
4/14/2018,Sat,a-5,12:30:00 PM,Thapathali,10,3,,,,,
4/14/2018,Sat,a-5,12:40:00 PM,Tripureshwor,1,0,,,,,
4/14/2018,Sat,a-5,12:50:00 PM,NAC,1,0,,,,,
4/14/2018,Sat,a-5,1:10:00 PM,Jamal,6,4,,,,,
4/14/2018,Sat,a-5,1:30:00 PM,Lazimpat,4,5,,,,,
4/14/2018,Sat,a-5,1:40:00 PM,Panipokhari,3,6,,,,,
4/14/2018,Sat,a-5,1:50:00 PM,Teaching,3,4,,,,,
4/14/2018,Sat,a-5,2:00:00 PM,Narayan Gopal Chowk,7,7,,,,,
4/14/2018,Sat,a-5,2:15:00 PM,Samakhusi,0,5,,,,,
4/14/2018,Sat,a-5,2:20:00 PM,Gongabu,2,0,,,,,
4/14/2018,Sat,a-5,2:25:00 PM,New Buspark,7,4,,,,,
4/15/2018,Sun,a-1,9:00:00 AM,Lagankhel,3,3,,,,,
4/15/2018,Sun,a-1,9:10:00 AM,Jawalakhel,9,4,,,,,
4/15/2018,Sun,a-1,9:15:00 AM,Pulchowk,1,1,,,,,
4/15/2018,Sun,a-1,9:30:00 AM,Kupandole,10,3,,,,,
4/15/2018,Sun,a-1,9:35:00 AM,Thapathali,10,2,,,,,
4/15/2018,Sun,a-1,9:45:00 AM,Tripureshwor,10,9,,,,,
4/15/2018,Sun,a-1,10:00:00 AM,NAC,0,6,,,,,
4/15/2018,Sun,a-1,10:20:00 AM,Jamal,7,1,,,,,
4/15/2018,Sun,a-1,10:40:00 AM,Lazimpat,7,3,,,,,
4/15/2018,Sun,a-1,10:50:00 AM,Panipokhari,6,2,,,,,
4/15/2018,Sun,a-1,10:55:00 AM,Teaching,4,0,,,,,
4/15/2018,Sun,a-1,11:05:00 AM,Narayan Gopal Chowk,5,0,,,,,
4/15/2018,Sun,a-1,11:25:00 AM,Samakhusi,10,2,,,,,
4/15/2018,Sun,a-1,11:30:00 AM,Gongabu,10,1,,,,,
4/15/2018,Sun,a-1,11:35:00 AM,New Buspark,10,9,,,,,
4/15/2018,Sun,a-2,9:45:00 AM,Lagankhel,0,6,,,,,
4/15/2018,Sun,a-2,10:00:00 AM,Jawalakhel,0,1,,,,,
4/15/2018,Sun,a-2,10:15:00 AM,Pulchowk,8,1,,,,,
4/15/2018,Sun,a-2,10:35:00 AM,Kupandole,1,4,,,,,
4/15/2018,Sun,a-2,10:45:00 AM,Thapathali,6,9,,,,,
4/15/2018,Sun,a-2,10:55:00 AM,Tripureshwor,4,4,,,,,
4/15/2018,Sun,a-2,11:15:00 AM,NAC,8,0,,,,,
4/15/2018,Sun,a-2,11:35:00 AM,Jamal,2,7,,,,,
4/15/2018,Sun,a-2,11:50:00 AM,Lazimpat,3,9,,,,,
4/15/2018,Sun,a-2,12:00:00 PM,Panipokhari,0,5,,,,,
4/15/2018,Sun,a-2,12:05:00 PM,Teaching,0,3,,,,,
4/15/2018,Sun,a-2,12:20:00 PM,Narayan Gopal Chowk,9,9,,,,,
4/15/2018,Sun,a-2,12:45:00 PM,Samakhusi,8,5,,,,,
4/15/2018,Sun,a-2,12:55:00 PM,Gongabu,3,1,,,,,
4/15/2018,Sun,a-2,1:00:00 PM,New Buspark,2,3,,,,,
4/15/2018,Sun,a-3,10:30:00 AM,Lagankhel,4,1,,,,,
4/15/2018,Sun,a-3,10:50:00 AM,Jawalakhel,9,8,,,,,
4/15/2018,Sun,a-3,11:05:00 AM,Pulchowk,3,6,,,,,
4/15/2018,Sun,a-3,11:25:00 AM,Kupandole,8,3,,,,,
4/15/2018,Sun,a-3,11:35:00 AM,Thapathali,10,8,,,,,
4/15/2018,Sun,a-3,11:45:00 AM,Tripureshwor,0,8,,,,,
4/15/2018,Sun,a-3,12:05:00 PM,NAC,1,4,,,,,
4/15/2018,Sun,a-3,12:25:00 PM,Jamal,6,8,,,,,
4/15/2018,Sun,a-3,12:45:00 PM,Lazimpat,10,8,,,,,
4/15/2018,Sun,a-3,12:55:00 PM,Panipokhari,8,1,,,,,
4/15/2018,Sun,a-3,1:00:00 PM,Teaching,10,1,,,,,
4/15/2018,Sun,a-3,1:10:00 PM,Narayan Gopal Chowk,4,2,,,,,
4/15/2018,Sun,a-3,1:30:00 PM,Samakhusi,9,5,,,,,
4/15/2018,Sun,a-3,1:35:00 PM,Gongabu,1,8,,,,,
4/15/2018,Sun,a-3,1:40:00 PM,New Buspark,5,8,,,,,
4/15/2018,Sun,a-4,11:15:00 AM,Lagankhel,2,2,,,,,
4/15/2018,Sun,a-4,11:30:00 AM,Jawalakhel,3,1,,,,,
4/15/2018,Sun,a-4,11:35:00 AM,Pulchowk,6,0,,,,,
4/15/2018,Sun,a-4,11:50:00 AM,Kupandole,1,1,,,,,
4/15/2018,Sun,a-4,12:00:00 PM,Thapathali,0,10,,,,,
4/15/2018,Sun,a-4,12:10:00 PM,Tripureshwor,2,8,,,,,
4/15/2018,Sun,a-4,12:20:00 PM,NAC,5,7,,,,,
4/15/2018,Sun,a-4,12:30:00 PM,Jamal,9,9,,,,,
4/15/2018,Sun,a-4,12:55:00 PM,Lazimpat,9,0,,,,,
4/15/2018,Sun,a-4,1:05:00 PM,Panipokhari,10,2,,,,,
4/15/2018,Sun,a-4,1:10:00 PM,Teaching,10,5,,,,,
4/15/2018,Sun,a-4,1:20:00 PM,Narayan Gopal Chowk,4,5,,,,,
4/15/2018,Sun,a-4,1:35:00 PM,Samakhusi,0,3,,,,,
4/15/2018,Sun,a-4,1:40:00 PM,Gongabu,10,7,,,,,
4/15/2018,Sun,a-4,1:45:00 PM,New Buspark,8,8,,,,,
4/15/2018,Sun,a-5,12:00:00 PM,Lagankhel,1,2,,,,,
4/15/2018,Sun,a-5,12:10:00 PM,Jawalakhel,6,4,,,,,
4/15/2018,Sun,a-5,12:15:00 PM,Pulchowk,4,3,,,,,
4/15/2018,Sun,a-5,12:25:00 PM,Kupandole,10,6,,,,,
4/15/2018,Sun,a-5,12:30:00 PM,Thapathali,6,2,,,,,
4/15/2018,Sun,a-5,12:40:00 PM,Tripureshwor,2,6,,,,,
4/15/2018,Sun,a-5,12:50:00 PM,NAC,8,6,,,,,
4/15/2018,Sun,a-5,1:10:00 PM,Jamal,4,8,,,,,
4/15/2018,Sun,a-5,1:30:00 PM,Lazimpat,4,1,,,,,
4/15/2018,Sun,a-5,1:40:00 PM,Panipokhari,9,5,,,,,
4/15/2018,Sun,a-5,1:50:00 PM,Teaching,2,6,,,,,
4/15/2018,Sun,a-5,2:00:00 PM,Narayan Gopal Chowk,0,8,,,,,
4/15/2018,Sun,a-5,2:15:00 PM,Samakhusi,0,2,,,,,
4/15/2018,Sun,a-5,2:20:00 PM,Gongabu,0,6,,,,,
4/15/2018,Sun,a-5,2:25:00 PM,New Buspark,0,6,,,,,
4/16/2018,Mon,a-1,9:00:00 AM,Lagankhel,9,9,,,,,
4/16/2018,Mon,a-1,9:10:00 AM,Jawalakhel,0,0,,,,,
4/16/2018,Mon,a-1,9:15:00 AM,Pulchowk,6,10,,,,,
4/16/2018,Mon,a-1,9:30:00 AM,Kupandole,4,5,,,,,
4/16/2018,Mon,a-1,9:35:00 AM,Thapathali,6,4,,,,,
4/16/2018,Mon,a-1,9:45:00 AM,Tripureshwor,10,10,,,,,
4/16/2018,Mon,a-1,10:00:00 AM,NAC,10,10,,,,,
4/16/2018,Mon,a-1,10:20:00 AM,Jamal,1,0,,,,,
4/16/2018,Mon,a-1,10:40:00 AM,Lazimpat,0,7,,,,,
4/16/2018,Mon,a-1,10:50:00 AM,Panipokhari,9,6,,,,,
4/16/2018,Mon,a-1,10:55:00 AM,Teaching,8,3,,,,,
4/16/2018,Mon,a-1,11:05:00 AM,Narayan Gopal Chowk,0,10,,,,,
4/16/2018,Mon,a-1,11:25:00 AM,Samakhusi,5,0,,,,,
4/16/2018,Mon,a-1,11:30:00 AM,Gongabu,8,8,,,,,
4/16/2018,Mon,a-1,11:35:00 AM,New Buspark,9,6,,,,,
4/16/2018,Mon,a-2,9:45:00 AM,Lagankhel,5,2,,,,,
4/16/2018,Mon,a-2,10:00:00 AM,Jawalakhel,8,5,,,,,
4/16/2018,Mon,a-2,10:15:00 AM,Pulchowk,7,2,,,,,
4/16/2018,Mon,a-2,10:35:00 AM,Kupandole,1,8,,,,,
4/16/2018,Mon,a-2,10:45:00 AM,Thapathali,3,1,,,,,
4/16/2018,Mon,a-2,10:55:00 AM,Tripureshwor,10,3,,,,,
4/16/2018,Mon,a-2,11:15:00 AM,NAC,1,1,,,,,
4/16/2018,Mon,a-2,11:35:00 AM,Jamal,10,9,,,,,
4/16/2018,Mon,a-2,11:50:00 AM,Lazimpat,3,0,,,,,
4/16/2018,Mon,a-2,12:00:00 PM,Panipokhari,8,2,,,,,
4/16/2018,Mon,a-2,12:05:00 PM,Teaching,8,3,,,,,
4/16/2018,Mon,a-2,12:20:00 PM,Narayan Gopal Chowk,2,10,,,,,
4/16/2018,Mon,a-2,12:45:00 PM,Samakhusi,3,5,,,,,
4/16/2018,Mon,a-2,12:55:00 PM,Gongabu,8,3,,,,,
4/16/2018,Mon,a-2,1:00:00 PM,New Buspark,3,7,,,,,
4/16/2018,Mon,a-3,10:30:00 AM,Lagankhel,9,2,,,,,
4/16/2018,Mon,a-3,10:50:00 AM,Jawalakhel,9,1,,,,,
4/16/2018,Mon,a-3,11:05:00 AM,Pulchowk,5,5,,,,,
4/16/2018,Mon,a-3,11:25:00 AM,Kupandole,9,0,,,,,
4/16/2018,Mon,a-3,11:35:00 AM,Thapathali,3,8,,,,,
4/16/2018,Mon,a-3,11:45:00 AM,Tripureshwor,4,0,,,,,
4/16/2018,Mon,a-3,12:05:00 PM,NAC,8,8,,,,,
4/16/2018,Mon,a-3,12:25:00 PM,Jamal,4,9,,,,,
4/16/2018,Mon,a-3,12:45:00 PM,Lazimpat,10,0,,,,,
4/16/2018,Mon,a-3,12:55:00 PM,Panipokhari,8,6,,,,,
4/16/2018,Mon,a-3,1:00:00 PM,Teaching,0,3,,,,,
4/16/2018,Mon,a-3,1:10:00 PM,Narayan Gopal Chowk,9,6,,,,,
4/16/2018,Mon,a-3,1:30:00 PM,Samakhusi,0,10,,,,,
4/16/2018,Mon,a-3,1:35:00 PM,Gongabu,6,3,,,,,
4/16/2018,Mon,a-3,1:40:00 PM,New Buspark,1,6,,,,,
4/16/2018,Mon,a-4,11:15:00 AM,Lagankhel,4,2,,,,,
4/16/2018,Mon,a-4,11:30:00 AM,Jawalakhel,8,5,,,,,
4/16/2018,Mon,a-4,11:35:00 AM,Pulchowk,7,4,,,,,
4/16/2018,Mon,a-4,11:50:00 AM,Kupandole,10,7,,,,,
4/16/2018,Mon,a-4,12:00:00 PM,Thapathali,4,0,,,,,
4/16/2018,Mon,a-4,12:10:00 PM,Tripureshwor,5,8,,,,,
4/16/2018,Mon,a-4,12:20:00 PM,NAC,8,8,,,,,
4/16/2018,Mon,a-4,12:30:00 PM,Jamal,0,9,,,,,
4/16/2018,Mon,a-4,12:55:00 PM,Lazimpat,6,1,,,,,
4/16/2018,Mon,a-4,1:05:00 PM,Panipokhari,3,4,,,,,
4/16/2018,Mon,a-4,1:10:00 PM,Teaching,4,7,,,,,
4/16/2018,Mon,a-4,1:20:00 PM,Narayan Gopal Chowk,2,9,,,,,
4/16/2018,Mon,a-4,1:35:00 PM,Samakhusi,9,6,,,,,
4/16/2018,Mon,a-4,1:40:00 PM,Gongabu,9,3,,,,,
4/16/2018,Mon,a-4,1:45:00 PM,New Buspark,9,6,,,,,
4/16/2018,Mon,a-5,12:00:00 PM,Lagankhel,9,4,,,,,
4/16/2018,Mon,a-5,12:10:00 PM,Jawalakhel,4,5,,,,,
4/16/2018,Mon,a-5,12:15:00 PM,Pulchowk,4,3,,,,,
4/16/2018,Mon,a-5,12:25:00 PM,Kupandole,2,7,,,,,
4/16/2018,Mon,a-5,12:30:00 PM,Thapathali,6,3,,,,,
4/16/2018,Mon,a-5,12:40:00 PM,Tripureshwor,2,9,,,,,
4/16/2018,Mon,a-5,12:50:00 PM,NAC,7,0,,,,,
4/16/2018,Mon,a-5,1:10:00 PM,Jamal,5,6,,,,,
4/16/2018,Mon,a-5,1:30:00 PM,Lazimpat,10,2,,,,,
4/16/2018,Mon,a-5,1:40:00 PM,Panipokhari,9,5,,,,,
4/16/2018,Mon,a-5,1:50:00 PM,Teaching,5,7,,,,,
4/16/2018,Mon,a-5,2:00:00 PM,Narayan Gopal Chowk,2,3,,,,,
4/16/2018,Mon,a-5,2:15:00 PM,Samakhusi,10,6,,,,,
4/16/2018,Mon,a-5,2:20:00 PM,Gongabu,10,2,,,,,
4/16/2018,Mon,a-5,2:25:00 PM,New Buspark,10,4,,,,,
4/17/2018,Tue,a-1,9:00:00 AM,Lagankhel,8,5,,,,,
4/17/2018,Tue,a-1,9:10:00 AM,Jawalakhel,6,7,,,,,
4/17/2018,Tue,a-1,9:15:00 AM,Pulchowk,0,4,,,,,
4/17/2018,Tue,a-1,9:30:00 AM,Kupandole,6,9,,,,,
4/17/2018,Tue,a-1,9:35:00 AM,Thapathali,1,1,,,,,
4/17/2018,Tue,a-1,9:45:00 AM,Tripureshwor,4,1,,,,,
4/17/2018,Tue,a-1,10:00:00 AM,NAC,1,6,,,,,
4/17/2018,Tue,a-1,10:20:00 AM,Jamal,5,5,,,,,
4/17/2018,Tue,a-1,10:40:00 AM,Lazimpat,5,1,,,,,
4/17/2018,Tue,a-1,10:50:00 AM,Panipokhari,6,2,,,,,
4/17/2018,Tue,a-1,10:55:00 AM,Teaching,6,3,,,,,
4/17/2018,Tue,a-1,11:05:00 AM,Narayan Gopal Chowk,3,0,,,,,
4/17/2018,Tue,a-1,11:25:00 AM,Samakhusi,1,5,,,,,
4/17/2018,Tue,a-1,11:30:00 AM,Gongabu,2,2,,,,,
4/17/2018,Tue,a-1,11:35:00 AM,New Buspark,0,9,,,,,
4/17/2018,Tue,a-2,9:45:00 AM,Lagankhel,5,9,,,,,
4/17/2018,Tue,a-2,10:00:00 AM,Jawalakhel,3,4,,,,,
4/17/2018,Tue,a-2,10:15:00 AM,Pulchowk,9,3,,,,,
4/17/2018,Tue,a-2,10:35:00 AM,Kupandole,2,10,,,,,
4/17/2018,Tue,a-2,10:45:00 AM,Thapathali,5,0,,,,,
4/17/2018,Tue,a-2,10:55:00 AM,Tripureshwor,10,5,,,,,
4/17/2018,Tue,a-2,11:15:00 AM,NAC,6,3,,,,,
4/17/2018,Tue,a-2,11:35:00 AM,Jamal,10,9,,,,,
4/17/2018,Tue,a-2,11:50:00 AM,Lazimpat,1,6,,,,,
4/17/2018,Tue,a-2,12:00:00 PM,Panipokhari,10,1,,,,,
4/17/2018,Tue,a-2,12:05:00 PM,Teaching,8,10,,,,,
4/17/2018,Tue,a-2,12:20:00 PM,Narayan Gopal Chowk,8,3,,,,,
4/17/2018,Tue,a-2,12:45:00 PM,Samakhusi,1,2,,,,,
4/17/2018,Tue,a-2,12:55:00 PM,Gongabu,8,2,,,,,
4/17/2018,Tue,a-2,1:00:00 PM,New Buspark,3,9,,,,,
4/17/2018,Tue,a-3,10:30:00 AM,Lagankhel,9,10,,,,,
4/17/2018,Tue,a-3,10:50:00 AM,Jawalakhel,2,4,,,,,
4/17/2018,Tue,a-3,11:05:00 AM,Pulchowk,2,2,,,,,
4/17/2018,Tue,a-3,11:25:00 AM,Kupandole,4,0,,,,,
4/17/2018,Tue,a-3,11:35:00 AM,Thapathali,10,3,,,,,
4/17/2018,Tue,a-3,11:45:00 AM,Tripureshwor,10,10,,,,,
4/17/2018,Tue,a-3,12:05:00 PM,NAC,3,3,,,,,
4/17/2018,Tue,a-3,12:25:00 PM,Jamal,2,5,,,,,
4/17/2018,Tue,a-3,12:45:00 PM,Lazimpat,5,10,,,,,
4/17/2018,Tue,a-3,12:55:00 PM,Panipokhari,3,1,,,,,
4/17/2018,Tue,a-3,1:00:00 PM,Teaching,6,7,,,,,
4/17/2018,Tue,a-3,1:10:00 PM,Narayan Gopal Chowk,5,6,,,,,
4/17/2018,Tue,a-3,1:30:00 PM,Samakhusi,1,9,,,,,
4/17/2018,Tue,a-3,1:35:00 PM,Gongabu,0,3,,,,,
4/17/2018,Tue,a-3,1:40:00 PM,New Buspark,8,8,,,,,
4/17/2018,Tue,a-4,11:15:00 AM,Lagankhel,10,4,,,,,
4/17/2018,Tue,a-4,11:30:00 AM,Jawalakhel,9,3,,,,,
4/17/2018,Tue,a-4,11:35:00 AM,Pulchowk,2,4,,,,,
4/17/2018,Tue,a-4,11:50:00 AM,Kupandole,3,1,,,,,
4/17/2018,Tue,a-4,12:00:00 PM,Thapathali,7,8,,,,,
4/17/2018,Tue,a-4,12:10:00 PM,Tripureshwor,0,0,,,,,
4/17/2018,Tue,a-4,12:20:00 PM,NAC,7,2,,,,,
4/17/2018,Tue,a-4,12:30:00 PM,Jamal,1,4,,,,,
4/17/2018,Tue,a-4,12:55:00 PM,Lazimpat,2,10,,,,,
4/17/2018,Tue,a-4,1:05:00 PM,Panipokhari,6,2,,,,,
4/17/2018,Tue,a-4,1:10:00 PM,Teaching,2,1,,,,,
4/17/2018,Tue,a-4,1:20:00 PM,Narayan Gopal Chowk,8,0,,,,,
4/17/2018,Tue,a-4,1:35:00 PM,Samakhusi,10,6,,,,,
4/17/2018,Tue,a-4,1:40:00 PM,Gongabu,0,3,,,,,
4/17/2018,Tue,a-4,1:45:00 PM,New Buspark,2,2,,,,,
4/17/2018,Tue,a-5,12:00:00 PM,Lagankhel,0,10,,,,,
4/17/2018,Tue,a-5,12:10:00 PM,Jawalakhel,3,8,,,,,
4/17/2018,Tue,a-5,12:15:00 PM,Pulchowk,8,0,,,,,
4/17/2018,Tue,a-5,12:25:00 PM,Kupandole,4,5,,,,,
4/17/2018,Tue,a-5,12:30:00 PM,Thapathali,1,0,,,,,
4/17/2018,Tue,a-5,12:40:00 PM,Tripureshwor,3,8,,,,,
4/17/2018,Tue,a-5,12:50:00 PM,NAC,3,2,,,,,
4/17/2018,Tue,a-5,1:10:00 PM,Jamal,10,5,,,,,
4/17/2018,Tue,a-5,1:30:00 PM,Lazimpat,2,0,,,,,
4/17/2018,Tue,a-5,1:40:00 PM,Panipokhari,8,0,,,,,
4/17/2018,Tue,a-5,1:50:00 PM,Teaching,10,3,,,,,
4/17/2018,Tue,a-5,2:00:00 PM,Narayan Gopal Chowk,5,0,,,,,
4/17/2018,Tue,a-5,2:15:00 PM,Samakhusi,5,8,,,,,
4/17/2018,Tue,a-5,2:20:00 PM,Gongabu,7,8,,,,,
4/17/2018,Tue,a-5,2:25:00 PM,New Buspark,4,8,,,,,
4/18/2018,Wed,a-1,9:00:00 AM,Lagankhel,8,8,,,,,
4/18/2018,Wed,a-1,9:10:00 AM,Jawalakhel,6,7,,,,,
4/18/2018,Wed,a-1,9:15:00 AM,Pulchowk,10,8,,,,,
4/18/2018,Wed,a-1,9:30:00 AM,Kupandole,3,2,,,,,
4/18/2018,Wed,a-1,9:35:00 AM,Thapathali,7,10,,,,,
4/18/2018,Wed,a-1,9:45:00 AM,Tripureshwor,2,10,,,,,
4/18/2018,Wed,a-1,10:00:00 AM,NAC,10,4,,,,,
4/18/2018,Wed,a-1,10:20:00 AM,Jamal,1,10,,,,,
4/18/2018,Wed,a-1,10:40:00 AM,Lazimpat,6,1,,,,,
4/18/2018,Wed,a-1,10:50:00 AM,Panipokhari,6,1,,,,,
4/18/2018,Wed,a-1,10:55:00 AM,Teaching,5,8,,,,,
4/18/2018,Wed,a-1,11:05:00 AM,Narayan Gopal Chowk,8,6,,,,,
4/18/2018,Wed,a-1,11:25:00 AM,Samakhusi,4,2,,,,,
4/18/2018,Wed,a-1,11:30:00 AM,Gongabu,5,4,,,,,
4/18/2018,Wed,a-1,11:35:00 AM,New Buspark,9,10,,,,,
4/18/2018,Wed,a-2,9:45:00 AM,Lagankhel,4,10,,,,,
4/18/2018,Wed,a-2,10:00:00 AM,Jawalakhel,9,5,,,,,
4/18/2018,Wed,a-2,10:15:00 AM,Pulchowk,9,10,,,,,
4/18/2018,Wed,a-2,10:35:00 AM,Kupandole,4,3,,,,,
4/18/2018,Wed,a-2,10:45:00 AM,Thapathali,9,3,,,,,
4/18/2018,Wed,a-2,10:55:00 AM,Tripureshwor,8,9,,,,,
4/18/2018,Wed,a-2,11:15:00 AM,NAC,7,0,,,,,
4/18/2018,Wed,a-2,11:35:00 AM,Jamal,4,0,,,,,
4/18/2018,Wed,a-2,11:50:00 AM,Lazimpat,1,5,,,,,
4/18/2018,Wed,a-2,12:00:00 PM,Panipokhari,5,7,,,,,
4/18/2018,Wed,a-2,12:05:00 PM,Teaching,2,0,,,,,
4/18/2018,Wed,a-2,12:20:00 PM,Narayan Gopal Chowk,9,6,,,,,
4/18/2018,Wed,a-2,12:45:00 PM,Samakhusi,2,9,,,,,
4/18/2018,Wed,a-2,12:55:00 PM,Gongabu,10,4,,,,,
4/18/2018,Wed,a-2,1:00:00 PM,New Buspark,7,4,,,,,
4/18/2018,Wed,a-3,10:30:00 AM,Lagankhel,3,1,,,,,
4/18/2018,Wed,a-3,10:50:00 AM,Jawalakhel,6,6,,,,,
4/18/2018,Wed,a-3,11:05:00 AM,Pulchowk,5,8,,,,,
4/18/2018,Wed,a-3,11:25:00 AM,Kupandole,0,1,,,,,
4/18/2018,Wed,a-3,11:35:00 AM,Thapathali,2,4,,,,,
4/18/2018,Wed,a-3,11:45:00 AM,Tripureshwor,10,4,,,,,
4/18/2018,Wed,a-3,12:05:00 PM,NAC,4,9,,,,,
4/18/2018,Wed,a-3,12:25:00 PM,Jamal,1,10,,,,,
4/18/2018,Wed,a-3,12:45:00 PM,Lazimpat,4,1,,,,,
4/18/2018,Wed,a-3,12:55:00 PM,Panipokhari,0,8,,,,,
4/18/2018,Wed,a-3,1:00:00 PM,Teaching,10,10,,,,,
4/18/2018,Wed,a-3,1:10:00 PM,Narayan Gopal Chowk,2,0,,,,,
4/18/2018,Wed,a-3,1:30:00 PM,Samakhusi,3,7,,,,,
4/18/2018,Wed,a-3,1:35:00 PM,Gongabu,1,7,,,,,
4/18/2018,Wed,a-3,1:40:00 PM,New Buspark,10,6,,,,,
4/18/2018,Wed,a-4,11:15:00 AM,Lagankhel,8,4,,,,,
4/18/2018,Wed,a-4,11:30:00 AM,Jawalakhel,2,10,,,,,
4/18/2018,Wed,a-4,11:35:00 AM,Pulchowk,3,9,,,,,
4/18/2018,Wed,a-4,11:50:00 AM,Kupandole,6,0,,,,,
